Source,Target,Type,Industry
452768038,biologi,Undirected,Helse og omsorg
452768038,digitalisering,Undirected,Helse og omsorg
452638765,brukbarhetstesting,Undirected,IT
452638765,interaksjonsdesign,Undirected,IT
452638765,programvaredesign,Undirected,IT
452638765,prototype,Undirected,IT
452630899,digitalisering,Undirected,Industri og produksjon
452630899,ifs erp,Undirected,Industri og produksjon
452630899,kunstig intelligens,Undirected,Industri og produksjon
451575167,prosjektledelse,Undirected,Markedsføring og annonsering
452486673,datadrevet markedsføring,Undirected,Internettbaserte tjenester
452486673,digital annonsering,Undirected,Internettbaserte tjenester
452486673,google adwords,Undirected,Internettbaserte tjenester
452486673,google analytics,Undirected,Internettbaserte tjenester
452486673,landingpage,Undirected,Internettbaserte tjenester
452486673,produsere innhold,Undirected,Internettbaserte tjenester
452427126,bash (operativsystem),Undirected,IT
452427126,ci/cd (continuous integration and continuous delivery),Undirected,IT
452427126,cuda (compute unified device architecture),Undirected,IT
452427126,docker,Undirected,IT
452427126,felling,Undirected,IT
452427126,systemoptimering,Undirected,IT
452423846,docker,Undirected,IT
452423846,felling,Undirected,IT
452423846,k8s,Undirected,IT
452423846,maskinlæring,Undirected,IT
452423846,mlops,Undirected,IT
452423846,python (dataprogrammering),Undirected,IT
452423846,pytorch,Undirected,IT
452356157,cybersikkerhet,Undirected,IT
452356157,due diligence analyse,Undirected,IT
452356157,go-to-market strategi,Undirected,IT
451915731,controlling,Undirected,innsikt og lokal ekspertise.
451915731,erp-systemer,Undirected,innsikt og lokal ekspertise.
451915731,ifs erp,Undirected,innsikt og lokal ekspertise.
451915731,kontinuerlig forbedringsarbeid,Undirected,innsikt og lokal ekspertise.
